CLASS,CONTENT
spam,+447935454150 lovely girl talk to me xxx﻿
ham,I always end up coming back to this song<br />﻿
spam,"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿"
ham,Cool﻿
spam,Hello I&#39;am from Palastine﻿
ham,Wow this video almost has a billion views! Didn&#39;t know it was so popular ﻿
spam,Go check out my rapping video called Four Wheels please ❤️﻿
ham,Almost 1 billion﻿
spam,Aslamu Lykum... From Pakistan﻿
ham,Eminem is idol for very people in España and Mexico or Latinoamerica﻿
spam,Help me get 50 subs please ﻿
ham,i love song :)﻿
spam,"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿"
ham,The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿
ham,The boyfriend was Charlie from the TV show LOST ﻿
spam,"<a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿"
spam,Take a look at this video on YouTube:﻿
spam,Check out our Channel for nice Beats!!﻿
ham,Rihanna and Eminem together are unstoppable.﻿
spam,Check out this playlist on YouTube:﻿
ham,This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿
spam,like please﻿
ham,"I love this song, can&#39;t believe it was 5 years ago, it doesn&#39;t get old though﻿"
ham,OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿
spam,"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿"
spam,Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿
spam,Check out this playlist on YouTube:﻿
spam,HUH HYUCK HYUCK IM SPECIAL WHO&#39;S WATCHING THIS IN 2015 IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GONNA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL.﻿
ham,"You exactly who u want to be,watching your favourite rappers on tv﻿"
ham,Rihanna is absolutely gorgeous in this video.﻿
spam,Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿
ham,"Don&#39;t love someone soo much, love the way u lie..﻿"
ham,one of the BEST SONGS in music history﻿
spam,Check out this playlist on YouTube:﻿
spam,Check out this video on YouTube:﻿
spam,Check out this video on YouTube:﻿
ham,No-I hate The Way U LIe!!﻿
ham,Fuck Eminem. Bieber is the best &lt;3﻿
spam,Check out this playlist on YouTube:chcfcvzfzfbvzdr﻿
spam,Check out this playlist on YouTube: ﻿
spam,Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿
spam,Check out this video on YouTube:﻿
spam,Check out this video on YouTube<br /><br /><br />﻿
spam,CHECK OUT THE NEW REMIX !!!<br />CLICK CLICK !!﻿
spam,Check out this playlist on YouTube:﻿
spam,I personally have never been in a abusive relationship. I probably never will. I don&#39;t hit women. Mom has my dad used to hit my mom before he left. I can relate I&#39;m writing about one at the moment subscribe to hear it. EVERY fan counts.﻿
ham,Love😘❤💖﻿
ham,"Haha, I can&#39;t believe how many kids listen to Eminem.  You kids know that he does drugs and ends high in jail. I wonder why he never ended OD. ﻿"
spam,plese subscribe to me﻿
spam,Check out this video on YouTube:﻿
spam,"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿"
ham,this is the 2nd most best song when im gone by m&amp;m﻿
spam,Check out this video on YouTube:﻿
ham,"WE GO FOR 1,000,000,000 FOR EMINEM﻿"
ham,Eminem and Rihanna sing the song very well.﻿
spam,Subscribe me Secret videos :D﻿
spam,Check out this video on YouTube:﻿
spam,Check out this video on YouTube:but I&#39;m not Rhinnah﻿
spam,Subscribe to me for clean Eminem!
spam," Hey youtubers... {**}I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the           music world. {**}I dont have any money to advertise my channel, {**}If you could just visit my channel, comment on my video or subscribe, that would be great.... {**}It will only be few seconds of your life..... {**}Thank u to all the people who just gave me a chance l really appreciate it "
ham,LOVE THE WAY YOU LIE ..&quot;﻿
spam,Check out this video on YouTube:﻿
spam,This guy win dollars sleeping... m m m he loves the planet its full of RETARDS
spam,Check out our cover of this song!
spam,Check out this video on YouTube:﻿
ham,goot﻿
ham,2015 but Im still listening to this!﻿
ham,"How is this the most watched Eminem video, it beats not afraid? ﻿"
spam,Check out my channel for funny skits! Thanks!
spam,hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines
spam,please read this please! i am a country singer who is trying to become someone. so if you would like my videos please. just type... boys round here by country girl (only on computer) wasting all these tears e.t. please subscribe and like
spam,Check out this video on YouTube:﻿
spam,"GUYS SHARE THIS VIDEO!!!!!  HE must have 1.000.000.000 views  Share on Facebook, groups, pages!!"
spam,CHECK OUT Eminem - Rap God LYRIC VIDEO
ham,Love this song﻿
ham,"Rihana, Love Me. :(﻿"
spam,like this comment then type 1337
ham,Is that Charlie from lost?<br />﻿
ham,who the fuck cheats on megan fox﻿
ham,that is megan fox﻿
ham,I love music﻿
spam,like this comment then type 1337
ham,❤❤❤❤❤❤❤﻿
ham,"hot,hot﻿"
spam,Check out this video on YouTube:﻿
spam,"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman."
ham,this fucking song like a&#39;n oreo the only white part is the good 1﻿
ham,"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿"
spam,"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense."
spam,Check Out The New Hot Video By Dante B Called Riled Up
spam,Check Out The New Hot Video By Dante B Called Riled Up
ham,"Still listening,still same pleasure﻿"
spam,▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌ FACEBOOK PASSWORD HACK 2013! facebook-pass-hack2013.blogspot.com ONLY 100% WORKING SOFTWARE FOR HACKING ANY FACEBOOK PASSWORD! It&#39;s FREE for download and breaks any password in 10-15 minutes! 100% virus free! For details and FREE DOWNLOAD please visit facebook-pass-hack2013.blogspot.com ▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌
ham,I love you!❤✨﻿
ham,2010? The time past so fast ..﻿
spam,"Hey everyone, I&#39;m Dakoda Bigelow.  I&#39;m a 17 year old singer, rapper and producer.  I&#39;ve gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it.  Check out my brand new music video for my song So Gone!  Also check out my new song called Deaf.  A few moments of your time would be greatly appreciated and you won&#39;t regret it :)  Please thumbs this up so more people can see it!  Thanks for the support."
ham,#2015 FUCK YEAH﻿
ham,eminem is a ginius stop!﻿
ham,The rap: cool     Rihanna: STTUUPID﻿
ham,Just gonna stand there and hear me cry ..﻿
ham,Love﻿
ham,Feels and emotions in this song...God damn﻿
spam,all u should go check out j rants vi about eminem
ham,MEGAN FOX AND EMINEM TOGETHER IN A VIDEO  DOESNT GET BETTER THAN THAT﻿
spam,"Check out this video on YouTube: <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Eminem"">#Eminem</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Lovethewayyoulie"">#Lovethewayyoulie</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RapGod"">#RapGod</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23King"">#King</a> ﻿"
spam,"yo I know nobody will probably even read this..  But I’m gonna type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You"
ham,best song﻿
spam,subscribe to my feed
spam,"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !"
spam,Check out Em&#39;s dope new song monster here: /watch?v=w6gkM-XNY2M  MMLP2 FTW :)
spam,Check out my SEXY VIDEO :*
spam,Check out my SEXY VIDEO :*
ham,Is that Charlie from lost?﻿
ham,Anyone else notice that Megan Fox is in this video?﻿
spam,Do you need more instagram followers or photo likes? Check out IGBlast.com and get em in minutes!
spam,Check Out The New Hot Video By Dante B Called Riled Up
spam,Check Out The New Hot Video By Dante B Called Riled Up
spam,"yo I know nobody will probably even read this..  but, Imma type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You"
spam,"youtube.com/watch?v=2ASFn9ShgHk&amp;feature=youtu.be  please check out my song. looking for feedback, and supporters."
spam,WATCH MY VIDEOS AND SUBSCRIBE
spam,:D subscribe to me for daily vines
ham,LOVE IT!!!!!!!﻿
spam,Hay dakota u earned a subscribee
spam,"Listen...Check out Andrew Guasch - Crazy, Sick Flow...I&#39;m dope....that&#39;s all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough.  One Love,  Peace."
spam,Check Out The New Hot Video By Dante B Called Riled Up
ham,I hate rap and I like this song﻿
ham,Love the way you lie - Driveshaft﻿
ham,2010:(﻿
ham,"1,000,000 VIEWS NEAR﻿"
spam,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Chillpal . Sturdy . Astauand . Johackle . Chorenn . Ethosien . Changeable . Public . Noxu . Ploosnar . Looplab . Hoppler . Delicious . False . Scitenoa . Locobot . Heartbreaking . Thirsty . Reminiscent"
ham,this song is NICE﻿
spam,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Busyglide . Sasaroo . Sore . Chillpal . Axiomatic . Naperone . Mere . Undesirable . Agreeable . Encouraging . Imperfect . Roasted . Insidious . Modgone . Quickest . Trelod . Keen . Fresh . Economic . Bocilile"
ham,Sick Music for sick females﻿
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Victorious . Luxuriant . Alcoholic . Responsible . Unbiased . Yoffa . Ociramma . Ociramma . Handsome . Arrowgance . Mizuxe . Boaconic . Sophisticated . Ill-fated . Spourmo . Chubby . Hioffpo . Probable . Singlewave"
ham,LOVE TROP FORT VOTRE  clip﻿
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Waratel . Misty . Exciting . Swoquix . Acaer . Chillpal . Tupacase . Arrowgance . Lively . Hard . Idiotic . Bored . Cool . Ablaze . Crabby . Aloidia . Cheilith . Feandra . Useless . Ploosnar"
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Ignorant . Wavefire . Reiltas . Astauand . Skizzle . Jovaphile . Swooflia . Grynn . Excellent . Slimy . Gabby . Nalpure . Lucky . Glozzom . Depressed . Better . Deep . Sinpad . Stereotyped . Toximble"
ham,Eminem et Rihana trop belle chanson﻿
ham,this song is better then monster by eminem﻿
ham,He is good boy!!!<br />I am krean I like to eminem~!~﻿
ham,it is wonderful﻿
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow"
spam,Share Eminem&#39;s Artist of the Year video so he can win. We could see a performance and acceptance speech. Like this comment so everyone can see.  2014 =  Year of Eminem
spam,watch?v=ARkglzjQuP0 Like this comment and share this video so Em can win!!! #YTMA
spam,Check out this video on YouTube:<br /><br />Eminem is amazing. ﻿
ham,awesome song ever﻿
ham,love﻿
spam,No long paragraph just check out my song called &quot;Fire&quot;.
spam,Check out this video on YouTube:﻿
spam,"Check out this video on YouTube: <a href=""http://www.youtube.com/user/jlimvuth"">http://www.youtube.com/user/jlimvuth</a> ... Eminem ft Rihanna - Love the way you lie﻿"
ham,"do you guys know, there&#39;s a part two of this song! :D﻿"
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Memory Ferirama Besloor Shame Eggmode Wazzasoft Sasaroo Reiltas Moderock Plifal Shorogyt Value Scale Qerrassa Qiameth Mogotrevo Hoppler Parede Yboiveth Drirathiel"
ham,"Hey, it&#39;s Charlie from Lost﻿"
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Wazzasoft Industry Sertave Wind Tendency Order Humor Unelind Operation Feandra Chorenn Oleald Claster Nation Industry Roll Fuffapster Competition Ociramma Quality"
spam,Check out this video on YouTube:﻿
ham,"I guss this song is one of my worst fears in life, to be with someone who abusive towered me and live with him.... ﻿"
spam,watch youtube video &quot;EMINEM -YTMA artist of the year&quot; plz share to vote!!!
ham,"Made five years ago and people still don&#39;t understand the message this song is conveying. For those of you who don&#39;t, understand that domestic violence is no game, women like the fictional one in this video do exist. Living their lives with a man who abuses her, but still chooses to stay for not the love, but for the sexual feeling he gives her. This is quite sad, actually. ﻿"
ham,5 years and i still dont get the music video help someone?﻿
spam,Please check out my New Song (Music Video) AD - Don&#39;t Play
spam,Tell us the title so i can like and subscribe your music fgw please
ham,This video is kinda close to 1 million  views <br />﻿
ham,Fuck you Eminem﻿
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The metal drews the reflective effect. Why does the expansion intervene the hilarious bit? The sneeze witnesss the smoke."
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?"
ham,2008-2010 were the years for pop﻿
ham,sorry but eminmem is a worthless wife beating bastard﻿
spam,Eminem is the king of rap  Micheal Jackson is the king of pop  If you also wanna go hard and wanna be the person of first class fame just check out Authenticviews*com and be famous just within days !! yO ~
ham,so spousal abusue cool that&#39;s great﻿
ham,she is megan fox?because she is very similar﻿
ham,"Holy crap. 800,000,000 views?!﻿"
ham,eminem - RIHANNA﻿
ham,LOVE THIS SONG!!!﻿
ham,What nicei⛺♥♥♥♥﻿
ham,I like this song very much﻿
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  When does the flimsy slip facilitate the manager? How does the noise set goals the anxious regret? How does the actually loss retrieve the smile?"
ham,I love it and my mom to﻿
ham,Who is watching in 2015 like﻿
spam,Please check out my New Song (MUSIC VIDEO) AD - Dont Play
ham,amazing song﻿
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the wood photograph the husky breath? When does the act retain the delightful system? The rhythm fabricates the scintillating harbor."
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The cook officiates the tax. The walk judges the amount. Why does the ink train the valuable increase?"
spam,check out my Eminem &amp; Kid Cudi M a s h up /watch?v=XYTcq5NzMuA
ham,I like it﻿
spam,"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!"
spam,"This past Christmas my dad passed away, to help me cope I picked up a pen and some paper and started to write. Little did I know nearly 9 months ago that it would bring me where i&#39;m at today. Over 7k subscribers and 500k video views. I just wrote and released a song yesterday about a friend of mine who has tried to commit suicide several times, I can&#39;t promise you professionally produced music, but I can promise REAL lyrics. Just click on my picture. Thanks, and thumbs up so others may see?"
spam,"••••►►My name is George and let me tell u EMINEM is my idol my inspiration, I&#39;ve listen to him growing up, I never thou I would love rap this much But I thank him for helping me find my dream. So I rap now and make YouTube videos and yesterday I covered the song Mockingbird it&#39;s in my channel I worked really hard on it and it&#39;s one of my favorite songs of Him. So please go check it out and subscribe it would mean the world to me n sorry for the spam ◄◄••­•• don&#39;t hate I&#39;m not Eminem"
ham,"love the way you lie featuring rhianna, hes an awesome rapper!!! shes an awesome singer!!!﻿"
ham,Eminem is my insperasen and fav﻿
spam,e.e....everyone could check out my channel.. dundundunnn
ham,"Every collaboration between them, we know it will be number 1 ﻿"
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the answer rehabilitate the blushing limit? The push depreciateds the steel. How does the beautiful selection edit the range?"
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the view disclose the macho lift? Why does the letter frame the thundering cause? Why does the talk prevent the conscious memory?"
ham,good music﻿
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language."
spam,if you need youtube subscriber mail hermann buchmair on fb
ham,is it bad that my realtionship is just like this lol﻿
ham,This video deserves <b>1B</b> views!!!﻿
ham,2015 and more....﻿
ham,best song ever (y)﻿
ham,I could hear this for years ;3﻿
ham,Who is still watching in 2015﻿
ham,I wish that guy wasn&#39;t so protective geeze﻿
ham,super rihanna﻿
spam,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ CHECK OUT MY CHANNEL ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬
spam,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you"
ham,Rihanna is so beautiful and amazing ♥♥♥♥♥love her so much♥♥♥♥ forever RiRi fan ♥ ♥ ♥ ♥ ♥ ♥ ﻿
ham,fav.﻿
spam,"HEY GUYS!!! ❤❤❤❤❤❤❤  BEFORE YOU IGNORE ME, PLEASE, GIVE ME A CHANCE!  My name is Yuliya, I make COVERS. I started getting serious with Youtube September of 2013 because that’s Great challenge to myself. MY DREAM was to become a singer. Youtube helps me keep up! If you can please give me a chance and THUMBS THIS COMMENT UP so more people can see it. I swear I&#39;ll appreciate it. SUBSCRIBE PLEASE!!!  ❤❤❤ LOVE YOU!!! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ XOXO ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ "
spam,Check out this video on YouTube:﻿
ham,Every single one of his songs brings me back to place I can never go back to and it hurts so bad inside﻿
ham,I love your songs eminem your the rap god﻿
spam,SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG   SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG
ham,I cried this song bringing back some hard memories﻿
spam,subcribe to us an we will subscribe back
ham,song is bad﻿
spam,CHECK OUT MY COVER OF LOVE THE WAY YOU LIE PLEASE!!
spam,check out fantasy music    right here -------&gt; the1fantasy  good music man.
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the war illustrate the exclusive space? The mountain refers the helpless death. The tax reviews the special music."
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The loud authority improves the canvas. When does the mother repair the uppity learning? The substantial cook derives the harbor."
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the burst render the symptomatic bite? The knowledge briefs the narrow thought. How does the eager sky transmit the crush?"
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mammoth waste achieve the shock? How does the limit reduce the delicate minute? How does the meaty scale adapt the oil?"
ham,Charlie from LOST?﻿
ham,"What the hell this song is already five years old?? I remember when it first came out, this was my jam﻿"
spam,Check out my channel im 15 year old rapper!
ham,is that Megan fox﻿
spam,wtf. subscribe my channel thanx ;)
spam,Hey check out my channel!!!! Please
ham,So he&#39;s admitting he killed his girlfriend???﻿
spam,check out you tube keithlinscotts one word keithlinscotts you tube .com
spam,Check out my mummy chanel!
